"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.421764465E0,-1.003202343E1,3.340788841E0,7.261580944E0,1.282703871E1
2.429781580E0,-1.005165482E1,2.042451859E0,6.055090427E0,1.191098208E1
2.437777080E0,-9.316519737E0,1.236092567E0,4.986010551E0,1.063887993E1
2.445804426E0,-8.417009354E0,3.334693909E-1,3.682162285E0,9.193234871E0
2.453798772E0,-8.044342041E0,-4.659948349E-1,2.443722248E0,8.420235655E0
2.461793695E0,-7.480094910E0,-1.454934120E0,1.182000637E0,7.711405751E0
2.469810964E0,-6.828588486E0,-2.185420990E0,-1.281669140E-1,7.170921305E0
2.477807426E0,-5.971248150E0,-3.417174339E0,-8.848044872E-1,6.936552740E0
2.485857426E0,-5.451163292E0,-4.718968391E0,-1.804042459E0,7.432254914E0
2.493854272E0,-4.500825882E0,-5.886904716E0,-2.742942572E0,7.901696951E0
2.501851118E0,-3.631792545E0,-6.912894726E0,-3.149294138E0,8.419981244E0
2.509881810E0,-2.443284512E0,-8.013490677E0,-3.508308172E0,9.082615167E0
2.517877041E0,-1.268361449E0,-8.694875717E0,-3.649107933E0,9.514493849E0
2.525888426E0,-3.934094906E-1,-9.394773483E0,-3.584745884E0,1.006314776E1
2.533882887E0,2.926569581E-1,-9.873843193E0,-3.251321316E0,1.039949604E1
2.541877272E0,1.024165630E0,-1.028975773E1,-3.034589291E0,1.077667674E1
2.549892887E0,1.581193089E0,-1.075804901E1,-2.482950211E0,1.115351209E1
