"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.592523962E0,-3.397700119E1,-8.771800041E0,1.298079967E1,3.741500028E1
2.602523962E0,-3.400139999E1,-8.479000092E0,1.320039940E1,3.744648433E1
2.612523962E0,-3.417219925E1,-8.210599899E0,1.343219948E1,3.762415627E1
2.622523962E0,-3.411119843E1,-7.954400063E0,1.365180016E1,3.759279167E1
2.632523962E0,-3.413560104E1,-7.746999741E0,1.392019939E1,3.766997763E1
2.642523962E0,-3.411119843E1,-7.551799774E0,1.412759972E1,3.768544297E1
2.652523962E0,-3.407460022E1,-7.332200050E0,1.432279968E1,3.768265023E1
2.662523962E0,-3.401359940E1,-7.088200092E0,1.459119987E1,3.768382462E1
2.672523962E0,-3.386719894E1,-6.868599892E0,1.499380016E1,3.766933597E1
2.682523962E0,-3.363539886E1,-6.795399666E0,1.560379982E1,3.769610168E1
2.692523962E0,-3.334259796E1,-6.636799812E0,1.606739998E1,3.760235754E1
2.702523962E0,-3.314739990E1,-6.429399967E0,1.648220062E1,3.757326498E1
2.712523962E0,-3.295219803E1,-6.319600105E0,1.704339981E1,3.763325893E1
2.722523962E0,-3.270819855E1,-6.136600018E0,1.751919937E1,3.760859554E1
2.732523962E0,-3.257399750E1,-5.977999687E0,1.788520050E1,3.763883885E1
2.742523962E0,-3.253739929E1,-5.795000076E0,1.800720024E1,3.763673258E1
2.752523962E0,-3.243980026E1,-5.538799763E0,1.817799950E1,3.759599193E1
2.762523962E0,-3.241539764E1,-5.258199692E0,1.827560043E1,3.758196695E1
2.772523962E0,-3.245199966E1,-5.014199734E0,1.840979958E1,3.764565316E1
2.782523962E0,-3.241539764E1,-4.806799889E0,1.862940025E1,3.769506444E1
2.792523962E0,-3.237879944E1,-4.526199818E0,1.866600037E1,3.764694818E1
2.802523962E0,-3.235440063E1,-4.269999981E0,1.876359940E1,3.764455874E1
2.812523962E0,-3.225679779E1,-4.099199772E0,1.895879936E1,3.763961365E1
2.822523962E0,-3.220800018E1,-3.928400040E0,1.923939896E1,3.772190444E1
2.832523962E0,-3.220800018E1,-3.794199944E0,1.936139870E1,3.777055716E1
2.842523962E0,-3.219580078E1,-3.696599960E0,1.950779915E1,3.782576723E1
2.852523962E0,-3.217139816E1,-3.720999956E0,1.973959923E1,3.792751611E1
2.862523962E0,-3.220800018E1,-3.672199965E0,1.978839874E1,3.797921870E1
2.872523962E0,-3.217139816E1,-3.696599960E0,1.983720016E1,3.797602166E1
2.882523962E0,-3.213479996E1,-3.757599831E0,1.977619934E1,3.791916382E1
2.892523962E0,-3.217139816E1,-3.818599939E0,1.959319878E1,3.786124672E1
2.902523962E0,-3.208599854E1,-3.952800035E0,1.938579941E1,3.769542610E1
2.912523962E0,-3.215919876E1,-4.172399998E0,1.904419899E1,3.760724002E1
2.922523962E0,-3.220800018E1,-4.391999722E0,1.862940025E1,3.746597778E1
2.932523962E0,-3.236660004E1,-4.562799931E0,1.800720024E1,3.731856377E1
2.942523962E0,-3.246419907E1,-4.928800106E0,1.739719963E1,3.716019169E1
2.952523962E0,-3.257399750E1,-5.221600056E0,1.668959999E1,3.697124786E1
2.962523962E0,-3.267160034E1,-5.611999989E0,1.603079987E1,3.682274511E1
2.972523962E0,-3.263499832E1,-6.039000034E0,1.553059959E1,3.664303700E1
